,_id,authorcountry,recommended,airlinename,cabin,rating_overall,reviewcontent,route,poswdcnt,negwdcnt,lsentiment
0,58994af99bf56223b02ab85c,Canada,1,pia-pakistan-international-airlines,Economy,8.0,We have travelled to Pakistan many times on PIA from Toronto to Karachi and I have to say that the experience was great. Staff were friendly and courteous and the inflight entertainment was very good. The food was good except on the return. The bathrooms were very dirty but the overall experience was good.,,10,1,9
1,58994af99bf56223b02ab860,United States,0,lufthansa,Economy,3.0,"4/10/2015 FRA-LAX LH 456. Lufthansa from FRA to LAX on A380 economy class and won't repeat this mistake anytime in the future. Seat pitch is listed as 31"" but felt more like 28"". Width is listed as 17"" and that felt about right. Seat configuration is 3-4-3 which is pretty much standard. It was just too cramped again I believe the pitch that Lufthansa list is wrong as I've never felt so tight with a 31"" pitch and I've recently lost 25 pounds. All else was great. Food was above industry standard staff were polite and attentive after meal drinks were plentiful and included brandy wine and beer at no charge. Snacks were passed out during duration of flight. Flight entertainment was weak but having a place to charge my laptop was handy as well as WiFi although slow and charged at 17euro. Unfortunately I have a bad back and will have to take a different carrier next time out.",,12,7,5
2,58994af99bf56223b02ab864,United States,0,us-airways,Economy,1.0,On November 5 2014 I flew US Airways - what a mistake. I am disabled and my husband checked the night before to make sure a wheelchair would be ready at the airport. Seattle to Tucson via Phoenix. No wheelchair in Seattle finally after waiting at check-in for 45 minutes the desk clerk was worried I was going to miss the flight and grabbed a wheel chair and I was put on plane at the last minute. Arrived at Phoenix - no wheelchair - person working at desk ignored me. Another passenger interrupted her and told her I needed assistance and I finally got help. Arrived in Tucson - no wheelchair - had to walk from tarmac to baggage. Wheelchair available for another customer - asked the person if he could get one for me he shrugged his shoulders and walked off. Customer service a nightmare - do not want to talk to you in person. The prices are good but they do not care about there customers.,,5,7,-2
3,58994af99bf56223b02ab866,Romania,1,dniproavia,Economy,7.0,Odessa to Kiev return. Plane a rather old Boeing 737 but for such short trips (under 1 hour) is not a problem. I was surprised to see that they offered sandwiches on both flights together with tea coffee and juices.,,1,2,-1
4,58994af99bf56223b02ab869,Canada,1,air-canada,Economy,8.0,AC Jazz and Express from YTZ-YQB via YUL was a breeze in spite of heavy fog and two cancellations the ground staff at Billy Bishop Airport was very helpful and respectful to passengers. AC Jazz from YQB to YYZ was smooth and the flight attendants were great. It was a smooth and pleasant flight back to Toronto.,,5,1,4
5,58994af99bf56223b02ab867,Finland,0,airbaltic,Economy,1.0,I chose this company as it had good fares for our trip however by the end of the trip if I sum up all the expenses it required along the way I could have bought tickets for a better airline that provides all the needed services. We had to pay 10 eur per person to do check-in at the counter. Who has heard of that? We received an email a few days before with the online check-in and it didn't state anywhere that if we don't do it online we would have to pay at the airport. Not surprisingly at the airport everyone who was on the same flight with us had the very same problem. The company is not transparent with its customers and it uses these hidden fees so they can cover up their margins. We had to pay extra for every 20 kg piece of luggage seats transaction fees and there were no meals during the flights. So adding up all these costs to the initial price of the ticket I could have easily flown with an all inclusive airline. Coming to customer service it seems that Air Baltic has no idea what that means. One crew member was extremely rude during the boarding process. She replied to my questions in a very rude way. It is sad to see that for some companies the idea of customer service is still a new concept.,,7,7,0
6,58994af99bf56223b02ab86a,Maldives,0,srilankan-airlines,Economy,1.0,BKK-CMB-MLE. Handling agents at BKK were very poorly informed on running the system numerous problems arose and it took over an hour to check in. During check-in they informed us that the CMB-MLE leg of our trip had been cancelled and that we that it was rescheduled for next morning. At CMB we asked the information counter about the transit hotel assigned to us at BKK. They claimed to have never heard of it and were no help at all whatsoever. All this happened in the middle of the night so we were really frustrated. The woman at the transit counter was exceptionally rude. We were then put on a bus with some other passengers and were brought to a small and very dirty little inn quite a long way from the airport. On the way to BKK the MLE handling agents refused to check us in saying that our ticket (issued by SriLankan) was for 15 days while our visa covered only 14. Right from the ticket agents to the transit hotels this was a ghastly experience.,,2,4,-2
7,58994af99bf56223b02ab86b,United Kingdom,0,british-airways,First Class,3.0,"LHR-NCL-LHR. I was rather disappointed to learn that my early morning Sunday flight was cancelled without any reason on the afternoon before the morning I was to fly - the whole point of this trip was so I could easily go back and return the same day to attend my sisters wedding, saving time and also money due to the trains being so expensive. I managed to rearrange my flight for the previous night and while annoyed I had to now arrange last minute accommodation, I thought this would be straightforward and as far as re-booking it was via the BA app. What it didn't tell me was that the flight I re-arranged to fly out with was severely delayed and my heart sank as I received a a text/app notification telling me so - I think this was very sneaky not to mention before re-booking and I spent a couple of hours getting to know Terminal 5. The general feedback from here and from friends is flights on this particular domestic route are often subject to delays and cancellation, and for a full service airline that is simply unacceptable - more than anything when everything else is cutback, reliability becomes golden. The plane itself was immaculately maintained and clean and I liked the simple but elegant cabin. BA staff also do let things down a bit, often quite brusque and unfriendly, and the desk staff do come across rather insincere when there are issues as there was here. Cabin Crew were fine, but lack warmth of some other Airlines. Sadly there aren't any other options on this route, so will probably be switching back to rail, despite sometimes competitive fares.",LHR to NCL,16,13,3
8,58994af99bf56223b02ab86c,United Kingdom,1,emirates,Economy,9.0,NCL-DXB-DAC-DXB-NCL. Departed from NCL on newest 777-300ER with newest ICE system flight very full but experience was overall pleasant. Catering from NCL is generally always good there was nothing to complain about and staff were efficient and generally good if not over-friendly. Flight from DXB-DAC was on time and again very full on older 777-200 with older ICE system. Cabin Crew on this sector were excellent however and even checked in on my mother who had been upgraded to Business Class for us. Toilets in ridiculous state given 4 hour flight but again due to clientele rather than crews fault. Return was on Christmas Eve and surprisingly busy flight from DAC-DXB. Return flight is always over-timed by an hour - meant we didn't get on to the plane until an hour after arriving at the gate. Flight was on newer 777-200ER with newest ICE system. Cabin service was efficient and brusque if not necessarily very friendly and inflight catering was ok. Arrival into Dubai was early and the airport was very quiet - we had a wait of more than 4 hours for connection to NCL - so collected our complimentary food vouchers from transfer desk. DXB-NCL unusually on 3 class 777-300ER with newest ICE system. Cabin Crew were unusually mostly British due to a lot returning home for Christmas break. Catering was disappointing with choice particularly breakfast offering but otherwise pleasant. Arrival into NCL was late and held on tarmac for rather unusual amount of time before being parked at remote stand and bussed to terminal. Baggage out promptly. Would use again based on this experience - the sector DAC is never an easy one and on the whole Emirates made the experience rather more tolerable than it can be and the price was incredible value for money especially long-haul from a regional UK destination.,,18,11,7
9,58994af99bf56223b02ab86d,United Kingdom,0,flybe,Economy,4.0,"STN-NCL. The booking process is confusing and unclear there is a constant feeling you're trying to be tricked into paying for things you don't want. Online check in did not work and seems to be a common recurring problem going by other reviews here I fly with only hand baggage for these short hops so I can arrive later at the airport and walk through without having to queue at a desk - this defeats the point of this if I have to check-in the old-fashioned way. Of course I didn't get a window seat because they had been taken and I didn't want to pay the obscene charge to pre-select. They chose Stansted for this route - this airport is decrepit and dark security is overcrowded and a mess with poor management of queues. Moving on to boarding - the misinformation flyBe give which adds to passengers frustration - we were told we had to be at the gate 45 minutes before the flight this is excessive and pointless. Arriving at the gate the board said it was open - it wasn't with no one about. Then it said they were boarding again it wasn't. Then finally 15 minutes before the depart time said gate was closed - we haven't even boarded. We didn't board until the scheduled depart time. Boarding was on foot in the rain with no bus or sheltered path. Upon boarding it was clear the Dash 8 Q400 aircraft had seen better days cabin looked very tatty and tired and a lot of passengers didn't seem to be aware of the size limitations for cabin baggage boarding took significantly longer than it should have. The seat itself was thin hard and unsupportive and looked very tatty with scratches and frayed bits hanging off. Departed 15 minutes late with no explanation or reason given for the delay. Cabin Service Manager was friendly but her colleague was surly and stroppy. FlyBe like to pretend they are above the low-cost carriers such as easyJet but they are anything but and this is very poor replacement for the easyJet's flight from/to Gatwick that were ended at the end of March - not only with the odd flight times and use of Stansted but also because of the poor quality of their short-haul product. It's ironic with their current tag line of ""Faster than road or rail"" they are trying to compete with these forms of transport but with the delays it is anything but and the overall experience is so joyless - it is doing the opposite and I will probably save the hassle and get the train next time.",,19,27,-8
